timestamp,query_type,hit,latency_ms,zone,cache_key
1780533421875,q1,1,0,Z4,N/A
1780533422834,q1,0,4,Z1,N/A
1780533422842,q5,1,0,Z1,N/A
1780533422844,q3,1,0,Z3,N/A
1780533422847,q2,1,0,Z2,N/A
1780533422848,q2,1,1,Z5,N/A
1780533422857,q4,0,7,Z3,N/A
1780533422862,q2,0,3,Z1,N/A
1780533422864,q5,1,0,Z3,N/A
1780533422866,q3,1,1,Z5,N/A
1780533422870,q3,0,3,Z5,N/A
1780533423830,q4,1,0,Z1,N/A
1780533423843,q3,0,7,Z2,N/A
1780533423849,q1,0,4,Z2,N/A
1780533423852,q1,1,0,Z1,N/A
1780533423858,q4,0,4,Z1,N/A
1780533423864,q1,0,4,Z3,N/A
1780533423874,q1,0,5,Z3,N/A
1780533423875,q1,1,1,Z2,N/A
1780533423877,q4,1,0,Z3,N/A
1780533423878,q2,1,0,Z2,N/A
1780533424839,q4,0,11,Z3,N/A
1780533424850,q4,0,5,Z3,N/A
1780533424852,q2,1,0,Z2,N/A
1780533424854,q4,1,0,Z2,N/A
1780533424856,q4,1,1,Z2,N/A
1780533424863,q2,0,6,Z3,N/A
1780533424865,q5,1,0,Z5,N/A
1780533424867,q3,1,1,Z5,N/A
1780533424868,q1,1,1,Z4,N/A
1780533424873,q2,0,3,Z1,N/A
1780533425836,q4,0,7,Z5,N/A
1780533425850,q2,0,5,Z4,N/A
1780533425853,q4,1,0,Z1,N/A
1780533425863,q4,0,8,Z4,N/A
1780533425866,q1,1,0,Z5,N/A
1780533425877,q4,0,9,Z3,N/A
1780533425879,q5,1,0,Z1,N/A
1780533425881,q2,1,0,Z5,N/A
1780533425883,q3,1,0,Z1,N/A
1780533425887,q3,0,3,Z1,N/A
1780533426838,q3,1,3,Z1,N/A
1780533426847,q2,1,0,Z4,N/A
1780533426851,q5,1,1,Z4,N/A
1780533426856,q2,1,1,Z2,N/A
1780533426859,q3,1,1,Z3,N/A
1780533426861,q5,1,0,Z1,N/A
1780533426866,q5,1,0,Z3,N/A
1780533426870,q1,1,1,Z5,N/A
1780533426872,q1,1,1,Z4,N/A
1780533426875,q2,1,0,Z4,N/A
1780533427827,q2,1,1,Z2,N/A
1780533427838,q3,0,4,Z2,N/A
1780533427840,q4,1,0,Z5,N/A
1780533427850,q4,0,7,Z3,N/A
1780533427852,q2,1,1,Z3,N/A
1780533427854,q2,1,0,Z5,N/A
1780533427862,q4,0,6,Z4,N/A
1780533427872,q4,0,5,Z2,N/A
1780533427874,q1,1,0,Z1,N/A
1780533427880,q4,0,4,Z2,N/A
1780533428825,q2,1,0,Z3,N/A
1780533428833,q5,1,1,Z2,N/A
1780533428843,q4,0,8,Z3,N/A
1780533428845,q1,1,0,Z1,N/A
1780533428846,q4,1,0,Z2,N/A
1780533428848,q5,1,1,Z3,N/A
1780533428850,q1,1,0,Z5,N/A
1780533428852,q4,1,0,Z5,N/A
1780533428857,q2,1,0,Z1,N/A
1780533428858,q5,1,1,Z2,N/A
1780533429825,q5,1,0,Z3,N/A
1780533429836,q3,0,3,Z1,N/A
1780533429838,q2,1,0,Z4,N/A
1780533429841,q5,1,0,Z3,N/A
1780533429843,q1,1,1,Z1,N/A
1780533429845,q2,1,1,Z5,N/A
1780533429852,q4,0,5,Z4,N/A
1780533429860,q4,0,4,Z2,N/A
1780533429865,q3,1,0,Z2,N/A
1780533429867,q4,1,0,Z4,N/A
1780533430829,q2,0,5,Z2,N/A
1780533430843,q3,0,6,Z2,N/A
1780533430852,q4,0,6,Z1,N/A
1780533430858,q4,0,4,Z4,N/A
1780533430860,q2,1,0,Z5,N/A
1780533430868,q4,0,6,Z5,N/A
1780533430869,q3,1,1,Z3,N/A
1780533430871,q5,1,0,Z1,N/A
1780533430876,q1,0,3,Z2,N/A
1780533430878,q1,1,0,Z5,N/A
1780533431825,q1,1,0,Z4,N/A
1780533431833,q5,1,0,Z3,N/A
1780533431836,q5,1,0,Z4,N/A
1780533431838,q5,1,1,Z3,N/A
1780533431845,q4,0,6,Z2,N/A
1780533431847,q3,1,0,Z1,N/A
1780533431848,q3,1,0,Z5,N/A
1780533431850,q1,1,0,Z3,N/A
1780533431856,q5,1,1,Z2,N/A
1780533431861,q1,0,4,Z3,N/A
1780533432827,q1,1,2,Z5,N/A
1780533432842,q5,1,0,Z3,N/A
1780533432845,q1,1,1,Z5,N/A
1780533432847,q5,1,0,Z1,N/A
1780533432854,q4,0,5,Z4,N/A
1780533432862,q4,0,5,Z3,N/A
1780533432864,q3,1,0,Z5,N/A
1780533432868,q3,1,0,Z1,N/A
1780533432870,q5,1,1,Z2,N/A
1780533432872,q3,1,1,Z3,N/A
1780533433835,q4,0,8,Z4,N/A
1780533433837,q1,1,1,Z1,N/A
1780533433843,q4,1,0,Z4,N/A
1780533433845,q5,1,0,Z3,N/A
1780533433847,q5,1,0,Z5,N/A
1780533433849,q4,1,0,Z3,N/A
1780533433851,q3,1,0,Z3,N/A
1780533433857,q4,0,5,Z3,N/A
1780533433859,q4,1,0,Z3,N/A
1780533433862,q5,1,1,Z5,N/A
1780533434826,q5,1,0,Z3,N/A
1780533434841,q3,0,7,Z4,N/A
1780533434843,q5,1,0,Z2,N/A
1780533434845,q5,1,0,Z1,N/A
1780533434847,q1,1,0,Z5,N/A
1780533434849,q5,1,0,Z5,N/A
1780533434850,q2,1,0,Z2,N/A
1780533434856,q4,0,4,Z4,N/A
1780533434861,q5,1,1,Z3,N/A
1780533434863,q5,1,0,Z3,N/A
1780533435828,q5,1,1,Z2,N/A
1780533435836,q3,1,0,Z2,N/A
1780533435839,q3,1,0,Z2,N/A
1780533435842,q5,1,1,Z5,N/A
1780533435843,q4,1,1,Z1,N/A
1780533435846,q3,1,0,Z5,N/A
1780533435851,q5,1,0,Z4,N/A
1780533435853,q1,1,0,Z5,N/A
1780533435859,q4,0,4,Z1,N/A
1780533435866,q4,0,5,Z1,N/A
1780533436825,q4,1,1,Z4,N/A
1780533436842,q2,0,10,Z4,N/A
1780533436848,q2,0,4,Z4,N/A
1780533436854,q4,0,4,Z1,N/A
1780533436856,q5,1,0,Z2,N/A
1780533436860,q2,0,2,Z2,N/A
1780533436866,q4,0,4,Z2,N/A
1780533436871,q1,0,4,Z4,N/A
1780533436876,q5,1,1,Z3,N/A
1780533436878,q3,1,0,Z5,N/A
1780533437831,q2,0,5,Z4,N/A
1780533437841,q2,1,0,Z4,N/A
1780533437852,q4,0,9,Z3,N/A
1780533437860,q4,0,6,Z2,N/A
1780533437862,q3,1,0,Z4,N/A
1780533437871,q4,0,6,Z2,N/A
1780533437874,q2,1,1,Z5,N/A
1780533437877,q4,1,1,Z5,N/A
1780533437883,q3,0,4,Z3,N/A
1780533437889,q3,0,4,Z3,N/A
1780533438832,q3,1,1,Z1,N/A
1780533438845,q5,1,1,Z4,N/A
1780533438853,q1,0,5,Z2,N/A
1780533438858,q2,1,0,Z1,N/A
1780533438862,q5,1,1,Z5,N/A
1780533438872,q1,0,6,Z4,N/A
1780533438874,q4,1,0,Z3,N/A
1780533438877,q2,1,1,Z3,N/A
1780533438882,q2,0,3,Z1,N/A
1780533438891,q4,0,7,Z1,N/A
1780533439825,q5,1,1,Z3,N/A
1780533439833,q5,1,1,Z1,N/A
1780533439835,q5,1,1,Z1,N/A
1780533439836,q2,1,1,Z5,N/A
1780533439842,q4,0,4,Z4,N/A
1780533439847,q4,0,3,Z4,N/A
1780533439849,q5,1,0,Z1,N/A
1780533439854,q3,0,3,Z1,N/A
1780533439859,q4,0,3,Z1,N/A
1780533439868,q4,0,8,Z5,N/A
1780533440830,q2,1,1,Z2,N/A
1780533440839,q2,1,1,Z5,N/A
1780533440845,q3,0,4,Z4,N/A
1780533440848,q3,1,1,Z5,N/A
1780533440851,q2,1,1,Z2,N/A
1780533440853,q1,1,1,Z3,N/A
1780533440857,q2,0,3,Z1,N/A
1780533440859,q3,1,0,Z5,N/A
1780533440861,q5,1,0,Z2,N/A
1780533440877,q4,0,10,Z2,N/A
1780533441825,q5,1,0,Z3,N/A
1780533441840,q4,0,5,Z1,N/A
1780533441841,q1,1,0,Z5,N/A
1780533441843,q5,1,0,Z1,N/A
1780533441844,q3,1,0,Z4,N/A
1780533441846,q1,1,0,Z3,N/A
1780533441848,q3,1,0,Z5,N/A
1780533441850,q3,1,0,Z1,N/A
1780533441852,q2,1,0,Z2,N/A
1780533441854,q3,1,0,Z1,N/A
1780533442840,q4,0,12,Z5,N/A
1780533442852,q4,1,0,Z5,N/A
1780533442855,q5,1,1,Z3,N/A
1780533442858,q2,1,1,Z2,N/A
1780533442862,q3,1,1,Z5,N/A
1780533442865,q3,1,0,Z4,N/A
1780533442868,q5,1,1,Z5,N/A
1780533442871,q4,1,1,Z5,N/A
1780533442877,q1,1,1,Z2,N/A
1780533442883,q1,1,0,Z3,N/A
1780533443826,q2,1,1,Z3,N/A
1780533443835,q2,1,0,Z3,N/A
1780533443837,q2,1,0,Z4,N/A
1780533443839,q1,1,0,Z1,N/A
1780533443840,q2,1,0,Z3,N/A
1780533443842,q2,1,0,Z5,N/A
1780533443847,q3,0,3,Z2,N/A
1780533443851,q2,0,2,Z3,N/A
1780533443853,q2,1,0,Z2,N/A
1780533443855,q1,1,0,Z5,N/A
1780533444825,q1,1,0,Z3,N/A
1780533444838,q1,0,6,Z3,N/A
1780533444840,q5,1,1,Z2,N/A
1780533444842,q3,1,0,Z3,N/A
1780533444843,q5,1,1,Z1,N/A
1780533444847,q2,0,2,Z4,N/A
1780533444849,q2,1,0,Z5,N/A
1780533444852,q2,1,0,Z2,N/A
1780533444853,q5,1,1,Z3,N/A
1780533444855,q3,1,0,Z3,N/A
1780533445826,q5,1,0,Z2,N/A
1780533445834,q1,1,0,Z2,N/A
1780533445836,q5,1,0,Z4,N/A
1780533445838,q1,1,0,Z2,N/A
1780533445839,q3,1,1,Z2,N/A
1780533445841,q3,1,0,Z3,N/A
1780533445843,q3,1,0,Z1,N/A
1780533445849,q3,0,4,Z2,N/A
1780533445851,q2,1,0,Z1,N/A
1780533445853,q5,1,0,Z3,N/A
1780533446827,q2,1,0,Z3,N/A
1780533446838,q2,1,3,Z3,N/A
1780533446840,q3,1,0,Z3,N/A
1780533446842,q5,1,1,Z3,N/A
1780533446848,q3,0,4,Z5,N/A
1780533446850,q1,1,1,Z5,N/A
1780533446851,q2,1,0,Z2,N/A
1780533446852,q3,1,0,Z3,N/A
1780533446854,q1,1,0,Z1,N/A
1780533446858,q5,1,1,Z4,N/A
1780533447829,q2,1,0,Z3,N/A
1780533447842,q3,1,0,Z4,N/A
1780533447845,q2,1,1,Z1,N/A
1780533447847,q2,1,0,Z5,N/A
1780533447850,q3,1,0,Z4,N/A
1780533447853,q5,1,0,Z2,N/A
1780533447856,q1,1,1,Z4,N/A
1780533447861,q3,0,4,Z4,N/A
1780533447867,q4,0,4,Z1,N/A
1780533447876,q4,0,6,Z3,N/A
1780533448825,q3,1,0,Z4,N/A
1780533448835,q2,1,2,Z1,N/A
1780533448838,q1,1,1,Z2,N/A
1780533448840,q1,1,0,Z5,N/A
1780533448842,q5,1,0,Z2,N/A
1780533448848,q4,0,5,Z5,N/A
1780533448849,q2,1,1,Z2,N/A
1780533448856,q4,0,5,Z1,N/A
1780533448861,q5,1,0,Z3,N/A
1780533448863,q5,1,0,Z3,N/A
1780533449825,q4,1,1,Z2,N/A
1780533449834,q3,1,0,Z5,N/A
1780533449839,q1,1,0,Z2,N/A
1780533449841,q5,1,1,Z3,N/A
1780533449843,q1,1,0,Z2,N/A
1780533449846,q1,1,0,Z4,N/A
1780533449851,q4,1,0,Z1,N/A
1780533449853,q1,1,1,Z1,N/A
1780533449856,q5,1,1,Z1,N/A
1780533449858,q4,1,1,Z1,N/A
1780533450831,q4,0,8,Z4,N/A
1780533450835,q3,1,0,Z4,N/A
1780533450837,q2,1,0,Z5,N/A
1780533450839,q3,1,1,Z3,N/A
1780533450840,q1,1,0,Z3,N/A
1780533450844,q3,0,2,Z5,N/A
1780533450846,q1,1,0,Z5,N/A
1780533450847,q3,1,0,Z5,N/A
1780533450851,q1,0,3,Z5,N/A
1780533450853,q1,1,0,Z4,N/A
1780533451824,q3,1,1,Z1,N/A
1780533451831,q1,1,0,Z2,N/A
1780533451833,q3,1,0,Z1,N/A
1780533451835,q3,1,0,Z3,N/A
1780533451837,q2,1,0,Z3,N/A
1780533451838,q3,1,1,Z5,N/A
1780533451846,q4,0,6,Z3,N/A
1780533451852,q4,0,4,Z5,N/A
1780533451860,q4,0,6,Z2,N/A
1780533451866,q2,1,0,Z4,N/A
1780533452824,q5,1,0,Z5,N/A
1780533452830,q2,1,0,Z3,N/A
1780533452832,q4,1,0,Z2,N/A
1780533452839,q4,0,5,Z5,N/A
1780533452840,q2,1,0,Z5,N/A
1780533452842,q5,1,0,Z5,N/A
1780533452844,q5,1,0,Z1,N/A
1780533452845,q5,1,0,Z1,N/A
1780533452847,q1,1,0,Z1,N/A
1780533452851,q3,0,3,Z2,N/A
1780533453823,q3,1,0,Z1,N/A
1780533453831,q1,1,0,Z4,N/A
1780533453833,q3,1,0,Z1,N/A
1780533453835,q3,1,0,Z3,N/A
1780533453836,q3,1,0,Z4,N/A
1780533453842,q4,0,4,Z4,N/A
1780533453843,q1,1,1,Z3,N/A
1780533453845,q1,1,0,Z2,N/A
1780533453846,q5,1,0,Z3,N/A
1780533453852,q4,0,4,Z2,N/A
1780533454823,q1,1,1,Z1,N/A
1780533454836,q1,1,0,Z5,N/A
1780533454839,q3,1,1,Z1,N/A
1780533454841,q3,1,0,Z3,N/A
1780533454843,q4,1,0,Z1,N/A
1780533454845,q3,1,0,Z4,N/A
1780533454847,q1,1,0,Z1,N/A
1780533454849,q1,1,0,Z4,N/A
1780533454850,q2,1,0,Z3,N/A
1780533454852,q3,1,0,Z2,N/A
1780533455823,q3,1,0,Z5,N/A
1780533455838,q1,0,7,Z3,N/A
1780533455841,q5,1,1,Z1,N/A
1780533455846,q3,1,1,Z3,N/A
1780533455849,q3,1,1,Z2,N/A
1780533455852,q2,1,1,Z1,N/A
1780533455855,q1,1,1,Z5,N/A
1780533455857,q5,1,1,Z4,N/A
1780533455863,q3,0,4,Z4,N/A
1780533455869,q1,1,0,Z3,N/A
